date,county,state,fips,cases,deaths,place_full,population
2020-01-21,Snohomish,Washington,53061,1,0,"Snohomish, Washington",814901
2020-01-22,Snohomish,Washington,53061,1,0,"Snohomish, Washington",814901
2020-01-23,Snohomish,Washington,53061,1,0,"Snohomish, Washington",814901
2020-01-24,Cook,Illinois,17031,1,0,"Cook, Illinois",5194675
2020-01-24,Snohomish,Washington,53061,1,0,"Snohomish, Washington",814901
2020-01-25,Orange,California,06059,1,0,"Orange, California",3190400
2020-01-25,Cook,Illinois,17031,1,0,"Cook, Illinois",5194675
2020-01-25,Snohomish,Washington,53061,1,0,"Snohomish, Washington",814901
2020-01-26,Maricopa,Arizona,04013,1,0,"Maricopa, Arizona",3990181
2020-01-26,Los Angeles,California,06037,1,0,"Los Angeles, California",10163507
2020-01-26,Orange,California,06059,1,0,"Orange, California",3190400
2020-01-26,Cook,Illinois,17031,1,0,"Cook, Illinois",5194675
2020-01-26,Snohomish,Washington,53061,1,0,"Snohomish, Washington",814901
2020-01-27,Maricopa,Arizona,04013,1,0,"Maricopa, Arizona",3990181
2020-01-27,Los Angeles,California,06037,1,0,"Los Angeles, California",10163507
2020-01-27,Orange,California,06059,1,0,"Orange, California",3190400
2020-01-27,Cook,Illinois,17031,1,0,"Cook, Illinois",5194675
2020-01-27,Snohomish,Washington,53061,1,0,"Snohomish, Washington",814901
2020-01-28,Maricopa,Arizona,04013,1,0,"Maricopa, Arizona",3990181
2020-01-28,Los Angeles,California,06037,1,0,"Los Angeles, California",10163507
2020-01-28,Orange,California,06059,1,0,"Orange, California",3190400
2020-01-28,Cook,Illinois,17031,1,0,"Cook, Illinois",5194675
2020-01-28,Snohomish,Washington,53061,1,0,"Snohomish, Washington",814901
2020-01-29,Maricopa,Arizona,04013,1,0,"Maricopa, Arizona",3990181
2020-01-29,Los Angeles,California,06037,1,0,"Los Angeles, California",10163507
2020-01-29,Orange,California,06059,1,0,"Orange, California",3190400
2020-01-29,Cook,Illinois,17031,1,0,"Cook, Illinois",5194675
