place,state,population,date,fips,cases,deaths
Snohomish,Washington,814901,2020-01-21,53061,1,0
Snohomish,Washington,814901,2020-01-22,53061,1,0
Snohomish,Washington,814901,2020-01-23,53061,1,0
Snohomish,Washington,814901,2020-01-24,53061,1,0
Snohomish,Washington,814901,2020-01-25,53061,1,0
Snohomish,Washington,814901,2020-01-26,53061,1,0
Snohomish,Washington,814901,2020-01-27,53061,1,0
Snohomish,Washington,814901,2020-01-28,53061,1,0
Snohomish,Washington,814901,2020-01-29,53061,1,0
Snohomish,Washington,814901,2020-01-30,53061,1,0
Snohomish,Washington,814901,2020-01-31,53061,1,0
Snohomish,Washington,814901,2020-02-01,53061,1,0
Snohomish,Washington,814901,2020-02-02,53061,1,0
Snohomish,Washington,814901,2020-02-03,53061,1,0
Snohomish,Washington,814901,2020-02-04,53061,1,0
Snohomish,Washington,814901,2020-02-05,53061,1,0
Snohomish,Washington,814901,2020-02-06,53061,1,0
Snohomish,Washington,814901,2020-02-07,53061,1,0
Snohomish,Washington,814901,2020-02-08,53061,1,0
Snohomish,Washington,814901,2020-02-09,53061,1,0
Snohomish,Washington,814901,2020-02-10,53061,1,0
Snohomish,Washington,814901,2020-02-11,53061,1,0
Snohomish,Washington,814901,2020-02-12,53061,1,0
Snohomish,Washington,814901,2020-02-13,53061,1,0
Snohomish,Washington,814901,2020-02-14,53061,1,0
Snohomish,Washington,814901,2020-02-15,53061,1,0
Snohomish,Washington,814901,2020-02-16,53061,1,0
Snohomish,Washington,814901,2020-02-17,53061,1,0
Snohomish,Washington,814901,2020-02-18,53061,1,0
Snohomish,Washington,814901,2020-02-19,53061,1,0
Snohomish,Washington,814901,2020-02-20,53061,1,0
Snohomish,Washington,814901,2020-02-21,53061,1,0
Snohomish,Washington,814901,2020-02-22,53061,1,0
Snohomish,Washington,814901,2020-02-23,53061,1,0
Snohomish,Washington,814901,2020-02-24,53061,1,0
Spokane,Washington,514631,2020-02-24,53063,4,0
Snohomish,Washington,814901,2020-02-25,53061,1,0
Spokane,Washington,514631,2020-02-25,53063,4,0
Snohomish,Washington,814901,2020-02-26,53061,1,0
Spokane,Washington,514631,2020-02-26,53063,4,0
Snohomish,Washington,814901,2020-02-27,53061,1,0
Spokane,Washington,514631,2020-02-27,53063,4,0
King,Washington,2233163,2020-02-28,53033,1,0
Snohomish,Washington,814901,2020-02-28,53061,2,0
Spokane,Washington,514631,2020-02-28,53063,4,0
King,Washington,2233163,2020-02-29,53033,4,1
Snohomish,Washington,814901,2020-02-29,53061,2,0
Spokane,Washington,514631,2020-02-29,53063,4,0
King,Washington,2233163,2020-03-01,53033,11,3
Snohomish,Washington,814901,2020-03-01,53061,2,0
Spokane,Washington,514631,2020-03-01,53063,4,0
King,Washington,2233163,2020-03-02,53033,15,6
Snohomish,Washington,814901,2020-03-02,53061,3,0
Spokane,Washington,514631,2020-03-02,53063,4,0
Walla Walla,Washington,60922,2020-03-02,53071,1,0
King,Washington,2233163,2020-03-03,53033,22,10
Snohomish,Washington,814901,2020-03-03,53061,5,0
Spokane,Washington,514631,2020-03-03,53063,4,0
Walla Walla,Washington,60922,2020-03-03,53071,1,0
Chelan,Washington,77036,2020-03-04,53007,1,0
King,Washington,2233163,2020-03-04,53033,33,11
Snohomish,Washington,814901,2020-03-04,53061,8,0
Spokane,Washington,514631,2020-03-04,53063,4,0
Walla Walla,Washington,60922,2020-03-04,53071,1,0
Chelan,Washington,77036,2020-03-05,53007,1,0
King,Washington,2233163,2020-03-05,53033,52,11
Snohomish,Washington,814901,2020-03-05,53061,17,0
Spokane,Washington,514631,2020-03-05,53063,4,0
Walla Walla,Washington,60922,2020-03-05,53071,1,0
Chelan,Washington,77036,2020-03-06,53007,1,0
Clark,Washington,481857,2020-03-06,53011,1,0
Jefferson,Washington,31729,2020-03-06,53031,1,0
King,Washington,2233163,2020-03-06,53033,59,12
Pierce,Washington,891299,2020-03-06,53053,1,0
Snohomish,Washington,814901,2020-03-06,53061,18,0
Spokane,Washington,514631,2020-03-06,53063,4,0
Walla Walla,Washington,60922,2020-03-06,53071,1,0
Chelan,Washington,77036,2020-03-07,53007,1,0
Clark,Washington,481857,2020-03-07,53011,1,0
Jefferson,Washington,31729,2020-03-07,53031,1,0
King,Washington,2233163,2020-03-07,53033,72,16
Kittitas,Washington,47364,2020-03-07,53037,1,0
Pierce,Washington,891299,2020-03-07,53053,3,0
Snohomish,Washington,814901,2020-03-07,53061,26,0
Spokane,Washington,514631,2020-03-07,53063,4,0
Walla Walla,Washington,60922,2020-03-07,53071,1,0
Chelan,Washington,77036,2020-03-08,53007,1,1
Clark,Washington,481857,2020-03-08,53011,1,0
Jefferson,Washington,31729,2020-03-08,53031,1,0
King,Washington,2233163,2020-03-08,53033,91,18
Kitsap,Washington,269805,2020-03-08,53035,1,0
Kittitas,Washington,47364,2020-03-08,53037,1,0
Pierce,Washington,891299,2020-03-08,53053,4,0
Snohomish,Washington,814901,2020-03-08,53061,36,0
Spokane,Washington,514631,2020-03-08,53063,4,0
Walla Walla,Washington,60922,2020-03-08,53071,1,0
Chelan,Washington,77036,2020-03-09,53007,1,1
Clark,Washington,481857,2020-03-09,53011,1,0
Jefferson,Washington,31729,2020-03-09,53031,1,0
King,Washington,2233163,2020-03-09,53033,117,21
Kitsap,Washington,269805,2020-03-09,53035,1,0
Kittitas,Washington,47364,2020-03-09,53037,1,0
Pierce,Washington,891299,2020-03-09,53053,7,0
Snohomish,Washington,814901,2020-03-09,53061,45,0
Spokane,Washington,514631,2020-03-09,53063,4,0
Walla Walla,Washington,60922,2020-03-09,53071,1,0
Chelan,Washington,77036,2020-03-10,53007,1,1
Clark,Washington,481857,2020-03-10,53011,1,0
Jefferson,Washington,31729,2020-03-10,53031,1,0
King,Washington,2233163,2020-03-10,53033,191,23
Kitsap,Washington,269805,2020-03-10,53035,2,0
Kittitas,Washington,47364,2020-03-10,53037,1,0
Pierce,Washington,891299,2020-03-10,53053,14,0
Skagit,Washington,128206,2020-03-10,53057,1,0
Snohomish,Washington,814901,2020-03-10,53061,61,0
Spokane,Washington,514631,2020-03-10,53063,4,0
Walla Walla,Washington,60922,2020-03-10,53071,1,0
Whatcom,Washington,225685,2020-03-10,53073,1,0
Chelan,Washington,77036,2020-03-11,53007,1,1
Clark,Washington,481857,2020-03-11,53011,1,0
Island,Washington,84460,2020-03-11,53029,1,0
